Id,Title,Handle,Published_date,Created_date,Product_Type,Sku,Price,Available,Grams,Image
4518457638974,The Charlie Wheat,charlie-wheat,2020-08-12T18:35:55-05:00,2020-05-07T10:10:45-05:00,Sneakers,HBB803015,149.00,False,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-wheat-28552809676862.jpg?v=1628094461
4495219753022,Silver Buckle Slim Belts,silver-buckle-slim-belts,2020-07-03T13:02:59-05:00,2020-04-20T15:39:53-05:00,Accessories,34-46,98.00,True,454,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-teak-silver-buckle-slim-belts-28567778426942.jpg?v=1628132987
1924646142014,Otter Wax - Tampico Suede Brush,otter-wax-tampico-suede-brush,2020-06-02T11:13:49-05:00,2018-11-14T15:32:53-06:00,Accessories,OTWX_BRSH,5.00,True,85,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-otter-wax-tampico-suede-brush-15136315473982.jpg?v=1591196806
4465102192702,Brass Buckle Wide Belts,copy-of-silver-buckle-belts,2020-04-02T18:25:49-05:00,2020-03-19T12:44:52-05:00,Accessories,30 - 46,98.00,True,454,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-olive-brass-buckle-wide-belts-28560700637246.jpg?v=1628023719
4465096982590,Silver Buckle Wide Belts,silver-buckle-belts,2020-04-02T18:25:45-05:00,2020-03-19T12:38:33-05:00,Accessories,29 - 46,98.00,True,454,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-30-olive-silver-buckle-wide-belts-28565249720382.jpg?v=1628131009
4462956740670,HELM + Bridge & Burn Black T-Shirt,helm-bridge-burn-black-t-shirt,2020-04-02T18:24:40-05:00,2020-03-17T13:39:44-05:00,Shirts,HLBB20022XL,28.00,False,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shirts-helm-bridge-burn-black-t-shirt-14426728955966.jpg?v=1585768995
4462956314686,HELM + Bridge & Burn Natural T-Shirt,helm-bridge-burn-natural-t-shirt,2020-04-02T18:24:40-05:00,2020-03-17T13:38:34-05:00,Shirts,HLBB20012XL,28.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shirts-helm-bridge-burn-natural-t-shirt-14426732527678.jpg?v=1585769114
4088059068478,HELM Socks - Steel+Dark Grey,helm-socks-anthricite-zinc,2019-09-30T15:06:45-05:00,2019-09-18T14:00:06-05:00,Socks,HB2LG-C,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-socks-steel-dark-grey-28554948739134.jpg?v=1628109963
4088057593918,HELM Socks - Navy+Marine,helm-socks-marine-blue,2019-09-30T15:06:45-05:00,2019-09-18T13:58:03-05:00,Socks,HB2LG-A,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-socks-navy-marine-28565937586238.jpg?v=1628093206
4088055398462,HELM Marled Socks - Grey,helm-marled-socks-anthricite,2019-09-30T15:06:45-05:00,2019-09-18T13:56:17-05:00,Socks,HB3LG-C,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-grey-28556456689726.jpg?v=1627993489
4088056512574,HELM Marled Socks - Charcoal,helm-marled-socks-black,2019-09-30T15:01:38-05:00,2019-09-18T13:57:00-05:00,Socks,HB3LG-D,15.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-charcoal-12867126820926.jpg?v=1570026528
